time,container_cpu_usage_seconds_total,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_wattage_current_milliwatts
1720776274.591,34.589496256,82,80,82,83,36,38,5088
1720776275.591,34.589496256,82,83,82,83,36,32,5047
1720776276.591,34.589496256,89,83,82,83,30,32,5047
1720776277.591,34.589496256,89,83,94,73,30,47,5210
1720776278.591,34.589496256,89,80,94,73,50,47,5210
1720776279.591,34.589496256,85,80,65,95,50,34,4925
1720776280.591,34.589496256,85,81,65,95,32,34,4925
1720776281.591,34.589496256,92,81,68,89,32,26,4721
1720776282.591,34.589496256,92,67,68,89,26,26,4721
1720776283.591,34.589496256,86,67,88,79,26,28,4680
1720776284.591,34.589496256,86,73,88,79,33,28,4680
1720776285.591,34.589496256,88,73,91,64,33,27,4965
1720776286.591,34.589496256,88,64,91,64,32,27,4965
1720776287.591,34.589496256,94,64,97,55,32,32,5006
1720776288.591,34.589496256,94,86,97,55,26,32,5006
1720776289.591,34.589496256,86,86,86,77,26,43,5006
1720776290.591,34.589496256,86,98,86,77,45,43,5006
1720776291.591,34.589496256,73,98,98,74,45,24,4721
1720776292.591,34.589496256,73,78,98,74,24,24,4721
1720776293.591,34.589496256,98,78,70,91,24,20,4599
1720776294.591,34.589496256,98,57,70,91,26,20,4599
1720776295.591,34.589496256,93,57,70,67,26,27,4640
1720776296.591,34.589496256,93,91,70,67,31,27,4640
1720776297.591,34.589496256,91,91,99,73,31,29,4762
1720776298.591,34.589496256,91,68,99,73,29,29,4762
1720776299.591,34.589496256,86,68,84,85,29,30,4721
1720776300.591,34.589496256,86,74,84,85,29,30,4721
1720776301.591,34.589496256,92,74,74,89,29,25,4436
1720776302.591,34.589496256,92,96,74,89,24,25,4436
1720776303.591,34.589496256,70,96,61,97,24,22,4436
1720776304.591,34.589496256,70,93,61,97,26,22,4436
1720776305.591,34.589496256,62,93,86,69,26,30,4762
1720776306.591,34.589496256,62,79,86,69,31,30,4762
1720776307.591,34.589496256,91,79,66,91,31,48,5006
1720776308.591,34.589496256,91,78,66,91,34,48,5006
1720776309.591,34.589496256,99,78,86,91,34,26,4843
1720776310.591,34.589496256,99,100,86,91,30,26,4843
1720776311.591,34.589496256,68,100,79,75,30,27,4762
1720776312.591,34.589496256,68,90,79,75,28,27,4762
1720776313.591,34.589496256,81,90,86,58,28,29,4762
1720776314.591,34.589496256,81,97,86,58,39,29,4762
1720776315.591,34.589496256,87,97,93,71,39,32,4843
1720776316.591,34.589496256,87,97,93,71,30,32,4843
1720776317.591,34.589496256,70,97,81,80,30,25,4843
1720776318.591,34.589496256,70,93,81,80,24,25,4843
1720776319.591,34.589496256,72,93,89,71,24,34,4925
1720776320.591,34.589496256,72,71,89,71,33,34,4925
1720776321.591,34.589496256,86,71,88,71,33,29,5047
1720776322.591,34.589496256,86,87,88,71,29,29,5047
1720776323.591,34.589496256,60,87,89,86,29,32,4803
1720776324.591,34.589496256,60,91,89,86,35,32,4803
1720776325.591,34.589496256,74,91,73,91,35,29,4843
1720776326.591,34.589496256,74,79,73,91,32,29,4843
1720776327.591,34.589496256,87,79,82,83,32,30,5088
1720776328.591,34.589496256,87,82,82,83,25,30,5088
1720776329.591,34.589496256,75,82,88,62,25,30,5088
1720776330.591,34.589496256,75,100,88,62,25,30,4965
1720776331.591,34.589496256,93,100,88,62,31,30,4965
1720776332.591,34.589496256,93,100,92,63,31,30,4843
1720776333.591,34.589496256,93,94,92,63,24,30,4843
1720776334.591,34.589496256,76,94,73,93,24,30,4762
1720776335.591,34.589496256,76,97,73,93,22,30,4762
1720776336.591,34.589496256,64,97,79,85,22,43,4803
1720776337.591,34.589496256,64,96,79,85,43,43,4803
1720776338.591,34.589496256,62,96,88,73,43,34,5006
1720776339.591,34.589496256,62,97,88,73,38,34,5006
1720776340.591,34.589496256,82,97,93,73,38,39,4843
1720776341.591,34.589496256,82,95,93,73,40,39,4843
1720776342.591,34.589496256,72,95,79,93,40,31,4843
1720776343.591,34.589496256,72,80,79,93,32,31,4843
1720776344.591,34.589496256,75,80,66,97,32,36,4803
1720776345.591,34.589496256,75,85,66,97,38,36,4803
1720776346.591,34.589496256,77,85,87,78,38,32,4803
1720776347.591,34.589496256,77,82,87,78,30,32,4803
1720776348.591,34.589496256,83,82,98,71,30,29,4884
1720776349.591,34.589496256,83,91,98,71,30,29,4884
1720776350.591,34.589496256,75,91,75,87,30,29,4640
1720776351.591,34.589496256,75,76,75,87,32,29,4640
1720776352.591,34.589496256,83,76,69,95,32,24,4640
1720776353.591,34.589496256,83,60,69,95,28,24,4640
1720776354.591,34.589496256,74,60,61,100,28,27,4640
1720776355.591,34.589496256,74,98,61,100,28,27,4640
1720776356.591,34.589496256,74,98,80,95,28,34,4762
1720776357.591,34.589496256,74,97,80,95,35,34,4762
1720776358.591,34.589496256,51,97,80,88,35,37,5006
1720776359.591,34.589496256,51,65,80,88,37,37,5006
1720776360.591,34.589496256,88,65,90,77,37,32,5169
1720776361.591,34.589496256,88,91,90,77,35,32,5169
1720776362.591,34.589496256,66,91,87,68,35,32,5169
1720776363.591,34.589496256,66,78,87,68,35,29,4803
1720776364.591,34.589496256,95,78,87,68,30,29,4803
1720776365.591,34.589496256,95,78,70,83,30,25,4843
1720776366.591,34.589496256,95,66,70,83,26,25,4843
1720776367.591,34.589496256,98,66,90,79,26,27,4762
1720776368.591,34.589496256,98,98,90,79,28,27,4762
1720776369.591,34.589496256,69,98,88,72,28,32,4721
1720776370.591,34.589496256,69,99,88,72,32,32,4721
1720776371.591,34.589496256,66,99,77,85,32,31,4680
1720776372.591,34.589496256,66,87,77,85,30,31,4680
1720776373.591,34.589496256,73,87,64,88,30,24,4273
1720776374.591,34.589496256,73,85,64,88,26,24,4273
1720776375.591,34.589496256,81,85,62,72,26,43,4436
1720776376.591,34.589496256,81,88,62,72,40,43,4436
1720776377.591,34.589496256,73,88,88,74,40,30,4721
1720776378.591,34.589496256,73,77,88,74,25,30,4721
1720776379.591,34.589496256,100,77,87,92,25,34,4965
1720776380.591,34.589496256,100,57,87,92,32,34,4965
1720776381.591,34.589496256,92,57,70,88,32,30,4640
1720776382.591,34.589496256,92,69,70,88,27,30,4640
1720776383.591,34.589496256,80,69,66,84,27,24,4518
1720776384.591,34.589496256,80,86,66,84,31,24,4518
1720776385.591,34.589496256,64,86,72,93,31,33,4640
1720776386.591,34.589496256,64,89,72,93,33,33,4640
1720776387.591,34.589496256,71,89,88,91,33,29,4599
1720776388.591,34.589496256,71,63,88,91,28,29,4599
1720776389.591,34.589496256,86,63,92,69,28,29,4721
1720776390.591,34.589496256,86,67,92,69,32,29,4721
1720776391.591,34.589496256,89,67,63,96,32,27,4640
1720776392.591,34.589496256,89,74,63,96,35,27,4640
1720776393.591,34.589496256,98,74,61,90,35,26,4640
1720776394.591,34.589496256,98,66,61,90,28,26,4640
1720776395.591,34.589496256,91,66,75,83,28,42,4762
1720776396.591,34.589496256,91,93,75,83,39,42,4762
1720776397.591,34.589496256,78,93,86,65,39,29,4925
1720776398.591,34.589496256,78,97,86,65,26,29,4925
1720776399.591,34.589496256,86,97,76,79,26,34,5250
1720776400.591,34.589496256,86,87,76,79,32,34,5250
1720776401.591,34.589496256,89,87,93,73,32,34,5250
1720776402.591,34.589496256,89,69,93,73,32,28,5128
1720776403.591,34.589496256,96,69,93,73,32,28,5128
1720776404.591,34.589496256,96,69,66,68,32,39,4762
1720776405.591,34.589496256,96,95,66,68,41,39,4762
1720776406.591,34.589496256,99,95,85,80,41,26,4762
1720776407.591,34.589496256,99,89,85,80,32,26,4762
1720776408.591,34.589496256,70,89,79,72,32,43,5454
1720776409.591,34.589496256,70,88,79,72,47,43,5454
1720776410.591,34.589496256,96,88,87,86,47,36,4965
1720776411.591,34.589496256,96,91,87,86,33,36,4965
1720776412.591,34.589496256,85,91,83,82,33,22,4843
1720776413.591,34.589496256,85,67,83,82,23,22,4843
1720776414.591,34.589496256,95,67,93,58,23,28,4477
1720776415.591,34.589496256,95,94,93,58,27,28,4477
1720776416.591,34.589496256,85,94,95,65,27,23,4436
1720776417.591,34.589496256,85,68,95,65,32,23,4436
1720776418.591,34.589496256,84,68,70,91,32,32,4680
1720776419.591,34.589496256,84,68,70,91,31,32,4680
1720776420.591,34.589496256,84,68,95,67,31,32,4680
1720776421.591,34.589496256,84,79,95,67,31,38,5088
1720776422.591,34.589496256,72,79,95,67,41,38,5088
1720776423.591,34.589496256,72,79,67,97,41,32,5006
1720776424.591,34.589496256,72,83,67,97,29,32,5006
1720776425.591,34.589496256,93,83,76,88,29,27,5006
1720776426.591,34.589496256,93,81,76,88,27,27,5006
1720776427.591,34.589496256,79,81,72,90,27,32,5169
1720776428.591,34.589496256,79,72,72,90,40,32,5169
1720776429.591,34.589496256,93,72,90,60,40,29,4843
1720776430.591,34.589496256,93,96,90,60,26,29,4843
1720776431.591,34.589496256,72,96,75,79,26,31,4640
1720776432.591,34.589496256,72,92,75,79,35,31,4640
1720776433.591,34.589496256,79,92,80,80,35,30,4762
1720776434.591,34.589496256,79,98,80,80,35,30,4762
1720776435.591,34.589496256,68,98,96,70,35,32,4884
1720776436.591,34.589496256,68,96,96,70,29,32,4884
1720776437.591,34.589496256,68,96,96,70,29,23,4965
1720776438.591,34.589496256,68,96,96,70,26,23,4965
1720776439.591,34.589496256,70,96,72,98,26,25,4803
1720776440.591,34.589496256,70,81,72,98,28,25,4803
1720776441.591,34.589496256,83,81,73,87,28,30,4680
1720776442.591,34.589496256,83,96,73,87,29,30,4680
1720776443.591,34.589496256,58,96,75,89,29,36,4680
1720776444.591,34.589496256,58,81,75,89,43,36,4680
1720776445.591,34.589496256,81,81,79,97,43,29,4721
1720776446.591,34.589496256,81,88,79,97,32,29,4721
1720776447.591,34.589496256,82,88,71,68,32,40,5128
1720776448.591,34.589496256,82,68,71,68,43,40,5128
1720776449.591,34.589496256,68,68,67,65,43,32,4843
1720776450.591,34.589496256,68,64,67,65,34,32,4843
1720776451.591,34.589496256,60,64,68,74,34,32,4843
1720776452.591,34.589496256,60,76,68,74,34,27,4762
1720776453.591,34.589496256,62,76,68,74,29,27,4762
1720776454.591,34.589496256,62,76,100,76,29,28,4884
1720776455.591,34.589496256,62,75,100,76,28,28,4884
1720776456.591,34.589496256,84,75,75,97,28,30,4640
1720776457.593,34.589496256,84,83,75,97,27,30,4640
1720776458.591,34.589496256,91,83,82,91,27,39,5088
1720776459.591,34.589496256,91,94,82,91,43,39,5088
1720776460.591,34.589496256,81,94,81,97,43,39,5088
1720776461.591,34.589496256,81,93,81,97,43,35,5454
1720776462.591,34.589496256,98,93,81,97,40,35,5454
1720776463.591,34.589496256,98,93,98,93,40,40,5006
1720776464.591,34.589496256,98,97,98,93,35,40,5006
1720776465.591,34.589496256,85,97,74,98,35,41,5332
1720776466.591,34.589496256,85,81,74,98,42,41,5332
